abdul: munar dusay tabara soley albert jaime gasol tauler abdul ayza
pack: pack jetpack packs slug partida lemmings llavero rocinante paladin cargar
padding: }}}pt estilopie estiloetiqueta estiloseccion }pt slategray padding }}+} eaba faff
pale: pálida manchada verdosa azulada pálido grupa rizada anaranjada negruzca violácea
palmer: palmer ingraham woodroffe lennox buttrey hussey wills sheree dixon graham
palomar: keck giclas palomar goodricke helin dist killeen houten gehrels elst
paradise: paraíso paraiso paraíso» edén paradisíaco paradise caminito mundanal tatoo golconda
paragraphs: párrafos párrafo parrafos artículos» subapartados entradilla apartados subapartado wikienlaces parrafo
paralympics: paralímpicos paralímpico paralímpicas olímpicos paralimpicos paralímpica olimpicos los juegos juegos medallero
parishes: arciprestazgos parroquias parroquiales parroquia arciprestazgo parroquía vicarías fonsagrada concejos demarcaciones
particle: partícula partículas antipartícula antipartículas fermiónico subatómicas subatómica gravitacional muones gravitatorio
particles: partículas partícula antipartículas gluones subatómicas antipartícula muones neutros fotones corpúsculos
passion: pasión apasionado pasional pasion pasiones pasión» apasiona profano amor apasionamiento
paste: pega pegar pegue mezclarlo peguen rellenar paste pulirlo pulir rellena
pastor: evangélico párroco luterano predicador pastor misionero oficiado misionario católico redentorista
patrolling: patrullaje patrullajes patrullado patrullar patrullando patrulleros patrulló patrullan patrullaba patrullero
patron: mecenas patrono benefactor patronazgo bienhechor mecenazgo devocionario comitente pasionista patrona
paying: pagar pagando pagada pago remuneración paga adeudaba retribución pagaran pagase
payment: pago pagos contraprestación cobro reembolso adeudado adeudo importe abonar adeudados
penalties: penales penaltis penalties descontó cobros atajó penal penalty descuento atajadas
penn: penn hendry hofstra morehouse cornell comrades alcorn dukes wilkes ness
perceived: percibida percibido percibía exacerbado percibidas prevaleciente percibiendo exacerbada inevitabilidad permisividad
performer: intérprete bailarín ejecutante monologuista declamador showman instrumentista bailaor interprete cantador
performers: intérpretes bailarines ejecutantes interpretes comediantes cantadores interpretaban interpretadores coristas improvisadores
permanently: permanentemente temporalmente permanecer definitivamente permaneciendo momentáneamente manteniéndolos manteniéndolo permanecido permanecerá
permit: autorizar permisos permiso efectuar revocar permitir restringir autorizaba tramitar autorización
personalities: personalidades connotados carismáticos locutores rostros entrañables mediáticos entrevistadores protagonistas presentadores
pet: pollito mascotas conejillo gato cobaya gatito perrito pet cachorro peluche
phenomenon: fenómeno fenómenos paradigmático encasillamiento significante paradójico generalizado permeado fenomeno paradójicas
philosopher: filósofo pensador filosofo epistemólogo teólogo sociólogo divulgador humanista helenista tomista
philosophers: filósofos pensadores tomistas teólogos epistemólogos metafísicos humanistas presocráticos empiristas helenistas
philosophical: filosófica filosófico filosóficas filosóficos metafísica filosóficamente gnoseología metafísicas filosofía axiología
phrases: frases adjetivos significados modismos acentos proverbiales locuciones barbarismos idiomáticos latinismos
physicians: médicos pediatras oftalmólogos cirujanos higienistas cardiólogos doctores enfermeros homeópatas ginecólogos
pianist: pianista violonchelista violinista violista concertista compositor pianist clarinetista chelista músico
pictured: famoso —el posaba conocido —un silueta —conocido inspirado –también icónico
ping: salim isha mahad jaff yuya musubi kiya salima haria bah
pin: pin alfiler descolgar guantera mazo cruceta stick keypad guardamonte canilla
pipe: fuelle cañería tubería cañerías tuberías fuelles carrillón boquilla colado ducto
pitched: alzara comenzadas doblado entorchado esquinero sobrepuso jonrón wooten aguantan medias
pit: pit piqueta cajón pits hoyo pozo reguero reventón gravilla lodazal
plains: llanuras llanura planicies planicie altiplanicies árida altiplanicie terral llanos llano
planets: planetas planetarios planetarias jovianos planetaria planeta interestelares planeta» planetesimales orbitan
plateau: meseta altiplanicie mesetas planicie submeseta montañosa montañoso estribación cordillera llanura
plates: planchas placas láminas cinceles cosidos estampados bultos encuadernados estampadas grapas
platinum: platino multiplatino platina platinos riaa rianz platinum abpd ifpi ∙
playwright: dramaturgo dramaturga novelista ensayista cuentista escritor comediógrafo poeta teatral literato
plymouth: plymouth portsmouth williamstown newport queenstown southampton halifax raleigh falmouth devonport
pocket: bolsillo bolsillos alfiler bolsita lápiz pocket mirilla estuche trampilla cerradura
pointing: apuntas apuntando apuntar apunta mirando apunte señalando apuntamiento señalamiento malinterpretación
politically: políticamente ideológicamente críticamente politizada politizado desprestigiada socialmente electoralmente partidista polémicamente
polo: natación waterpolo waterpolista deportivamente natació voley netball golf olimpismo voleyball
pond: estanque charca estanquera regato carén pozo bebedero azud butarque acuático
porter: porter cantwell thornton mcdonagh reade bramble garwood mccall chandler pickett
portions: porciones totalidad partes parcialmente extensos porción extenso consistiendo íntegramente extienden
portraits: retratos autorretratos retratados retrato retrató retratistas autoretrato retratadas retratando autorretrato
portsmouth: portsmouth southampton bremerton falmouth newport devonport northampton plymouth greenock liverpool
ports: puertos portuarias marítimos portuarios marítimas puerto ports atraques portuario hubs
potter: potter mcfarlane blyton pratchett barron darke kimbell mundodisco zelazny falconer
pound: libra avoirdupois equivalía pound pesó peso equivalían libras penique pounder
pounds: libras kilos kilogramos onzas quintales pesos tonelada peso pesaba pesando
powell: powell garner russell walston howard baker howells gardner wardell mcconnell
praise: alabanzas elogios alabanza alabar elogiosos alabado aplauso alabada alabados alabaron
precedent: planteo juzguen innegociable precedente zanjado criterio juzgue avalar obviedad zanjar
precisely: exactamente precisamente preciso tal justamente generalizadamente trivialmente cabalmente definamos empleamos
precise: precisa exacta exactitud imprecisa precisos preciso exacto concreta precisión correcta
predominantly: mayoritariamente predominantemente mayormente principalmente fundamentalmente preponderantemente predominante —principalmente netamente eminentemente
preference: preferencia preferencias preferencial preferencialmente preferir preferenciales preferido preferibles preferimos optativo
pregnant: embarazada embarazado embaraza embarazó embarazo embarazadas bebé encinta drogada anciana
preliminary: preliminar preliminares preliminarmente preeliminar previa fase reválida sorteo finalice reclasificatorio
prepare: preparar prepararse prepararlos prepararla prepararlo preparase prepararan preparara preparen preparan
presbyterian: presbiteriana metodista presbiteriano presbyterian presbiterianas presbiterianos anglicana adventista presbiterianismo metodistas
presenter: presentador presentadora copresentador copresentadora panelista locutora conductora televisivo locutor presentadoras
presenting: presentación presentar presentarla presentados presentada contrastación presentadas presentando presentándolo presentacion
presidency: presidencia presidiría presidencias presidencialista vicepresidencia presidente presidirla vicepresidencial expresidente semipresidencialista
prestigious: prestigiosa prestigiosas prestigioso prestigiosos prestigiada prestigiado prestigiadas distinguida premiada prestigiados
preston: wootton oldham woodburn gillingham mansfield stansbury preston milburn stanfield gorton
prevented: impedirían impediría impidiendo impidieron impidiese impidiera impidieran prevenía previniendo previendo
prevention: prevención prevenciones prevenir preventivo preventivas mitigación preventiva preventivos drogodependencia aseguramiento
prey: depredadores predador depredados predadores depredador voraces cazan presas depredadora depredadoras
priests: sacerdotes clérigos sacerdotales presbíteros diocesanos seglares diáconos seminaristas misionarios coadjutores
priority: prioridad prioritaria prioritario prioritariamente prioridades prioritarias prioritarios priorizando compatibilizando compatibilizar
prisoner: prisionero prisionera prisioneros prisioneras rehén preso desertor apresado aprisionado capturado
privacy: privacidad confidencialidad ciberseguridad copyrights intimidad vulneración anonimato seguridad vulnerar vulnerando
probability: probabilidad probabilidades probabilístico probabilísticas probabilística probabilísticos probabilista estimador varianza estocástico
problematic: obvia pertinente cuestionable discutible problemático referenciada justificada innecesaria obvio obvios
procedures: procedimientos procedimiento procedimentales chequeos correctivos preventivos correctivas requerimientos periciales procedimental
proceedings: actas ponencia dictamen congreso dictada plenaria sumarios ordinaria dictación sobreseimiento
prod: borro borrado borradas borraré publiqué borren borre borrara borrarla autopromocion
productive: improductiva productiva improductivas productivas productivo improductivo improductivos productivos provechosa enriquecedora
prof: prof professor supervisor_doctoral dr estudiantes_doctorales profesor supervisora_doctoral sr brey catedrático
prohibited: prohíbe prohibiendo prohibición prohibía prohibiéndose prohíben prohibidas prohibirse prohibe prohibida
promised: prometió prometiendo prometieron prometía prometido prometidas prometidos prometían ofreció comprometiera
promise: promesa prometer deseo compromiso prometido ofrecimiento cumplido prometa promesas prometiendo
pronounced: pronuncia pronunciada pronuncian pronunciado pronunciaría pronunciándose pronunciadas pronunciará pronunciando pronunciados
propaganda: propaganda propagandística propagandístico propagandísticos propagandísticas contrapropaganda propagandas propagandista propagandistas desprestigio
proposals: propuestos propuestas propuesta anteproyectos contrapropuesta planteados proponentes anteproyecto proyectos planteadas
propulsion: propulsión propulsion propulsar turbinas turbina motriz propulsa propulsor propulsoras propulsores
protagonist: protagonista personaje antihéroe trasunto misterioso ficticio narrador enigmático encarna ambientado
protecting: protección protegiendo proteger autoprotección protegería protegiese protegiera protegieran protegen protege
proteins: proteicos proteínas proteína proteínicos glucoproteínas polipéptidos glicoproteínas enzimáticos ribosomales proteica
protocol: protocolo multiprotocolo protocolos protocol protocols multidifusión smtp tcp encaminamiento reenvío
prototype: prototipo prototipos prototipado rediseñado rocketdyne fabricado planeador propulsado preserie monoplaza
proven: demostrado demostrada probado demostrables probadas demostrarse demostrados demostrable demostradas probada
providence: providence filadelfia staten providencia brooklyn york, avenuebrooklyn roanoke kingstown charlestown
provision: prestación provisión amejoramiento reglamentación reglamentariamente supletorio garantías sostenimiento aseguramiento contraprestación
provisions: disposiciones reglamentos reglamentariamente garantías derogados reglamentados reglamento reglamentarias aduaneros reglamentarios
proximity: proximidad cercanía localizados localizarse entorno distantes localización circundante cercanos localizadas
prussia: prusia prusiana prusianas prusiano pomerania lauenburgo prusianos prusias curlandia oldemburgo
publicity: mediática publicidad mediático propagandas publicitó notoriedad mediáticas prensa publicitado publicidades
publish: publicar publicarlo publicarlos publicarla publicarlas publicarse publicaran publicara publicase editarse
pub: pub taberna trafalgar pubs gin tablao cuchillero librilla suburbia avapiés
pull: engancharse enganchar tirar empujar empujarlo empujarla apretar voltear agarrar balancearse
pump: inyector bidón ventilador bombeo compuerta émbolo serpentín desechable recalentado precalentamiento
punishment: castigo castiga castigos castigará ensañamiento ofensas condene castigado castigaba condena
purely: puramente meramente sino esencialmente estrictamente netamente necesariamente cuasi distinto inherente
pursuit: persecución combatividad apoderamiento relevo batiéndose persiguiendo perseguir disciplina escapándose perseguidor
pushed: empujando empujado empujados retrocediendo empujada empujó empujaron avanzaba empujaba avanzar
pushing: sostenerse sostenga contraria inclinaría falta inclinarse contrario incline aferrada neutralidad
puts: pone coloca trae quita pondrá saca quitará deja haga encuentre
quantity: valor cantidad cantidades proporción insumo excedente escaso bajísimo sustractivo desperdicio
quarterback: quarterback redskins quarterbacks maddux celtics phillies packers steelers pistons dodgers
quarters: barracones cuarteles dormitorios barracas postas parados alojaban estancias ubicaban caballerizas
quartet: cuarteto quarteto sexteto trío quartet trio sinfonietta quartets quartett septeto
quest: aventura búsqueda anhelado aventurar busca aventurero quest misión aventurado anhela
quiet: tranquila tranquilo silenciosa callada apacible sosegada calmada tranquilos quieta agitada
rachel: rachel leah beth rebecca rebekah deborah joanna tessa jenny chloe
raiders: raiders piratas barbarians jackals dolphins warriors ravens mohawks buccaneers steelers
ranch: rancho ranch ranchito ranchos ranchero granja vaquería cucamonga rancher pachingo
randy: randy pete jeff eddie tommy eric mike dusty vince lenny
rankings: rankings ranking ránking ránkings puntajes rankeado rankeados puntuaciones puntaje otroresultado
rape: femicidio incesto adulterio feminicidio infanticidio rapto violencia fornicación parricidio mutilación
rapper: rapero rapera raperos ñejo pitbull xzibit rapea mixtape remixer rap
rap: rap hop reggaetón hip reggaeton funky reguetón gangsta reggae raperos
reactions: reacciones reacción reaccionan reaccionen reaccionar reaccione reaccionado reaccionando reaccionarias reactivos
rebel: rebelde rebeldes milicia insurrecto insurrectas mercenaria insurrectos insurrection insurgencia lealista
rebels: rebeldes insurrectos desarmaron leales milicianos armados progubernamentales rebelde guerrilleros combatientes
recalled: recordó recordaría sorprendió anotaba emocionó acompañaría pusó recordaba declararía impresionó
recall: repetir repetirme repitiera repetirse recordar presentas repitieran repetirla contestar preguntarme
receiver: receptor receiver emisor ecualizador transpondedor sistema_guía relays lanzador receptoría captador
recognize: reconocer reconocerle reconocerse reconocerlos reconocerlo reconocerla reconocemos reconociendo reconozcan reconocieran
recommend: recomendaría recomendar recomiendo sugiero recomiende aconsejaría recomendamos proponerlo propongan consideren
reconnaissance: aerotransportado aerotransportada aerotransportados aerotransportadas aerotransportable aeromóvil escuadron escuadrilla cazabombarderos escuadrones
reconstruction: reconstrucción reconstrucciones costrucción reedificación reconstructiva restauración reconstructor reconstruirse restauraciones reconstitución
recruited: reclutaron reclutó reclutando reclutan reclutado reclutaba reclutada reclutados reclutadas reclutar
recurring: recurrente episódicas recurrentes ocurrente episódico cazavampiros episódicos nip/tuck episódica mcbeal
redirected: redirigido redireccionado redirección redirigió redirigida redirija redirecciona redirige redireccionar redirigiendo
referendum: referéndum referéndums referendum plebiscito referendo plebiscitaria parlamento moción preparlamento plebiscitos
reflected: reflejándose refleja reflejado reflejando reflejada reflejara reflejará reflejaría reflejan reflejaron
reflects: refleja reflejará reflejan reflejaría reflejara reflejando refleje reflejado reflejándose percibe
reformed: reformada reforman reformando reformados reformaron reformaría reformadas reformó reformarse reformado
reforms: reformas reforma reinstauración cogobierno instauración institucionalización institucionalizó restablecimiento radicalización agraria
refugees: refugiados refugiadas emigrantes emigrados inmigrantes desplazados huidos migrantes venidos expatriados
refuge: refugio cobijo refugiar refugiaba refugiarse refugiaban refugiado refugios refugiaron refugian
refuses: niega rehúsa pide rehusa convence enfurece decide insiste intenta recrimina
regiments: regimientos batallones fusileros granaderos infantería regimiento húsares voltígeros regimento infanteria
reid: bartlett padgett reid mcwilliams franks stewart jennings findley bunnell lloyd
relatives: parientes familiares pariente ancestros suegros paternos antepasados pariendo cercanos allegados
relay: relevos olímpica prueba olímpicas relé relevo olímpico keirin heptatlón envión
releasing: lanzando lanzará lanzarán lanzan lanzamiento descarga lanzado lanzarlo lanzarían lanzaría
relegated: descendidos relegados descendió relegado descendido descendieron ascendidos descendería descenderán colista
reliability: fiabilidad confiabilidad confiables fiable confiable usabilidad manejabilidad aceptabilidad fiables comprobaciones
religions: religiones religión credos politeístas politeísmo abrahámicas sectas monoteístas creencias ateístas
relocated: trasladaron trasladó mudaron trasladándose trasladaría mudaría trasladarían mudó reubicó mudándose
remarkable: remarcable notable asombrosa sorprendente excepcional extraordinaria impresionante admirable magnífica destacable
remarks: sarcásticos comentarios reproches sarcasmos elogiosos insinuaciones presumió criticara irónicos sarcásticas
remembered: recordado recordada recordaría recordará recordadas recordara célebre recordados inmortalizó recordación
renewed: renovó renovada renovado renovarla renovará renovara renovar renovarle renovaría renovaba
renowned: afamado renombre afamados afamada destacadísima destacadísimo afamadas reputado reputada sobresalió
repeat: repetir repetirse repetirlo repetirla repetiré repetición repetirme repetimos repetido repeticiones
requiring: requerir requiriéndose requiriendo requieran requerirá requerirse requiera requerirán requiriese requieren
rescued: rescatados rescataron rescatadas rescatada rescatado rescatara rescató rescatando rescatarse salvaron
researcher: investigador investigadora informatólogo científico virólogo investigación divulgador investigadoras investigativo neurocientífico
reserved: reservada reservados reservado reservan reservadas reservaba reservándose reservando reservaban reservará
resignation: dimisión renuncia dimitiera destitución dimitió destituye destituyó dimitir dimitiría renunciara
respected: respetada respetado respetadas respetados reconocido conocedores influyente reputada respetables reputado
responses: respuestas receptivos respuesta positivos estímulos contestaciones respondes responden respondidas contestados
resumed: reanudó reinició reanudándose retomó continuó reanudando prosiguió reanudaron reanudaría reiniciaron
retain: retener conservar mantener conservando otorgarles conservarían otorgarle retenerlo retuviera conservarlo
retreat: replegarse atrincherarse retroceder replegar reagruparse atrincherado retirarse atrincheramiento atrincheradas desmoralizado
reveal: revelar desvelar revelarse revelando revelarlo mostrarle descubrir revelan desvelando revelarle
reviewing: revisión revisor revisará revisiones revisara revisan revisar revise puntualización revisas
revolt: revuelta rebelión sublevación insurrección insurreción sublevaciones rebeliones subleva sofocada insurrecciones
reynolds: reynolds woodard mccullough fitzgerald feeney kennard postlethwaite mcintire mccoll charlesworth
rhine: rin westfalia renano renania mosela palatinado rhin saale weser teutoburgo
rica: guyana tobago mauricio lanka comoras seychelles belice nepal ecuador laos
richards: johnathan richards leary brooker brooke naylor mcdermitt walters robertson guillory
richardson: crowell willis richardson hollingsworth woodard stowell howells mcwilliams mcgillis milligan
rifles: rifles fusiles escopetas carabinas revólveres subfusiles ametralladoras bayonetas fusil mauser
rings: anillos anillo anillas anilla anillados rings anillado cinturones concéntricos halos
ritual: ritual rituales ritualmente ritos ceremonial libación propiciatorio ceremonias ablución cultual
rivalry: rivalidad rivalidades rivales enfrentamiento enemistad archirrival disputaban disputa archirival rival
rivals: rivales rival archirrival rivalidad rivalidades derbis derbi dominadores archirival contendientes
roberto: scarone aroldo elvio roberto leonel lauro silvio alcívar perazzo bonfiglio
robertson: robertson hankinson pierson woodworth denney mcinnes graham reddick reid dailey
rochester: rochester durham newark harrisburg louisville syracuse plattsburgh worcester wilmington schenectady
rod: pasador stopper cord conductor cortador rod resorte garfio spikes monociclo
roller: roller patines trampolines saltadoras patín saltadora patineta mandril saltador rueda
rookie: rookie novato rookies sophomore sophomores mvp invitational postemporada reboteador freshman
roosevelt: roosevelt eisenhower delano truman morgenthau franklin churchill macarthur hoynes woodrow
rosa: rosa rosaldo ramona carmelina rosal rosalba rosalia galdo azucena feliciana
rotation: rotación rotaciones rotacional rotar rotacionales rotante rotado rotando rotada nutación
routine: rutinaria rutinario rutina rutinarias rutinarios rutinas rutinariamente simulacros pautada puntualidad
rubber: caucho goma hule cauchos gomas corcho gutapercha plástico algodón nailon
ruins: ruinas vestigios cimientos derruidos derruida restos aldea vestigio alrededores derruido
rulers: gobernantes gobernaban soberanos gobernados gobernaron gobernaran dinásticos gobernando feudatarios regentes
runway: aterrizaje rasante pista aeropuerto despegues despegue aeroparque aterrizajes despegar aeropuerto_secundario
ruth: ruth lillie gertrude lillian helen esther miriam mitzi ethel elsie
sabha: euia ciutadans guanyem ciutadà joves melillense consello consellería democràtica acpv
sacramento: sacramento angeles california, bakersfield dallas california,estados texas california» californianos sonoma
sad: triste pija desgraciada banal inocente ingrato lastimoso desta loca irremplazable
sailed: zarpó navegó zarparon navegaron zarpando fondeó zarpaba arribó desembarcó ancló
sail: embarcación velero arriar embarcar barco paquebote zarpar veleros recalada navegar
sailors: marineros remeros marinería veleros faluchos socorristas corsarios armadores loberos náufragos
salem: salem benicia humacao allentown boner texada concordia tampa tarra cabell
salvador: salvador meave pri pais usulután colimense salvadoreño méxico pesqueira nayarita
samples: muestras muestreos recolectados samples recolectadas secuenciados analizados extraídas colectadas extraídos
sanctions: sanciones sancione sanción sancionar sancionador sancionadores readmisión bloqueos sancionados flagrantes
sanctuary: santuario eremitorio monfragüe santuarios peregrino covacha templo jacobeo ermita cobijo
santos: macedo moacyr wilker barbosa andrade henriquez ornelas santos brito britos
sara: sara anabell esther janette laura daniela norah vanesa raquel julia
satisfy: satisfacerse satisfacer satisfaga satisfagan satisface valorarse satisfaciendo cumplirlas atenerse satisfacen
saving: ahorro ahorra rescato rescate sobrevivencia ahorró ahorrado ahorran ahorrando resucitación
saxon: sajón sajona sajones anglosajona sajonas germánica normanda anglosajón germánicas britano
saxony: sajonia turingia anhalt palatinado lüneburgo lauenburgo luneburgo baviera brandeburgo altenburgo
saxophone: saxofón contrabajo percussion saxofones trombón clarinete saxophone percusion saxófono trompeta
scales: escalas punteados punteadas cónicos segmentos gloquidios claviformes estrías punteado variadamente
scandal: escándalo escándalos destapó amaño escandalo corrupción watergate fraude escandaloso coimas
scorer: goleador anotador goleadores anotó anotadores goleado goles anotadora disputo goleadora
scouts: scouts scout scouting escultismo lobatos scoutismo voluntarios guias patrullas muchachos
screenplay: guion guión coguionista largometraje iñárritu guionista filme película guiones coescritor
screenwriter: guionista cineasta coguionista coescritor cinematográfico realizador argumentista cinematografista novelista actor
sculptor: escultor ceramista pintor muralista escultora decorador tallista orfebre ebanista artista
sculptures: esculturas esculturales escultóricos murales escultóricas terracota esculpidos monumentales terracotas relieves
searches: búsquedas encontrarlos rastreos rastreo buscarlos buscadores búsqueda rastreados buscas encontrarlas
sebastian: sebastian sebastiana sebastián mateo cristofer joachin wolfang anton hernanz mercero
sec: sec bfa º/ evian fertiberia rfec cdc inf fisa esppp
secular: secular laica seculares laicado secularizada religiosa cristiana laico laical estamental
secured: asegurado asegurada garantizó consiguó consiguiera consiguió consiguiendo obtuviese accedería obtuviera
seeds: semillas sembrados sembradas semilla sembrado frutos simientes sembrada manojos arbolitos
seemingly: aparentemente indefectiblemente inevitablemente imperiosamente inconscientemente incomprensiblemente inexplicablemente caprichosamente apariencias parecer
segments: segmentos segmento cortos insertos micros segmentados seriados gags íntegros articulados
semifinals: semifinales semifinal cuartos octavos semifinalista semifinalistas ronda ganados/perdidos clasificatoria campeonar
seminary: seminario teología seminary seminarista teológico interdiocesano salesiano alma_máter noviciado convictorio
sending: enviando envío enviar enviarles enviándoles enviarla enviarle enviándole enviándolos mandando
sensitive: sensible sensibles captada analizada pasiva minimizada inocua sensibilidad activa indeseada
seoul: seúl helsinki bangalore ankara gangnam busan nairobi daegu durbar kathmandu
separately: separadamente separado previamente individualmente regionalmente iguales anterioridad nacionalmente independientemente apropiadamente
separation: separación separaciones separar ruptura separaran reintegración igualación exclusión separaría equiparación
serie: scudetto eccellenza udinese scudettos chievo chievoverona juventus hellas fiorentina juvecaserta
servant: sirviente funcionario aposentador siervo letrado estanciero cillero paje mercader criado
settings: entornos ambientes centrados ambientaciones focalizados centrándonos ambientan ambientados escritorios configurados
settle: asentarse establecerse afincarse asentar poblarla instalarse asentara trasladarse poblar radicarse
severely: gravemente severamente seriamente irreparablemente dañada dañado fatalmente mermada destrozados daña
sheep: ovejas cabras caballar asnal cerdos vacuno oveja ovino vacunos vacas
sheet: tapa láminas planchas estuche grapa punzón cartulina molde librillo troquel
shelter: refugio cobijo refugios albergue cobijar hospedaje refugiar descansadero albergues pernoctar
shock: shock choque shocks fulminante aturdimiento sobresalto fulminantes retardado vuelco brusco
shops: comercios tiendas ferreterías cafeterías zapaterías carnicerías mercadillos restaurantes almacenes ambulantes
shorts: cortos berretines cortometrajes mediometrajes shorts pantalon chiflados largometrajes despeinado tazos
shots: tiros disparos acertar disparo disparan segundos certeros instantes disparen minutos
shoulder: hombro pierna muslo cadera rodilla cuello piernas rodillas tobillo espalda
shrine: santuario venera templo veneró venerar veneraba veneras venerada advocación ermita
sick: enfermos enfermo enferma enfermado enfermas enferman desvalidos enfermar extremaunción indigente
signals: señales señal transmisores impulsos transpondedores transductores pulsos radares moduladores sintonizadores
silence: silencio silencio» silencia silencios silenciar silenció silenciado silenciando silenci callar
silly: absurda tonta tontería estúpida ridícula ridículo descabellada absurdas chocante pataleta
silva: silva nunes souza palmeiro virgílio fernandes alves sequeira teixeira vieira
simpson: simpson mcbain stewart matthews reubens partridge reid mccauley buckley willis
sin: pecado tentación tentaciones eternidad amar destiempo dios» infamia onán alá
sit: sentarse sentar levantarse sentara turnan tumbarse levantarlo pararse descansar levantarla
sixteen: dieciséis dieciocho catorce diecisiete veintidós ocho veintiún quince diecinueve diez
skill: destreza habilidad pericia destrezas habilidades aptitudes agilidad dotes habilidoso aptitud
skull: cráneo huesos hueso omóplato mandíbula desdentado hocico cráneos fémur neurocráneo
slam: slam slams masters championships finals tenístico tenística garros challengers dobles
slavery: esclavitud esclavismo esclavista esclavistas antiesclavista abolicionismo emancipación abolicionistas abolición esclavos
slovak: eslovaco eslovaca eslovacas checo checoslovaco eslovacos eslovaquia esloveno polaco checoeslovaquia
slovakia: eslovaquia eslovenia checoeslovaquia polonia checoslovaquia checa hungría letonia rumanía lituania
slovenia: eslovenia eslovaquia checa croacia slovenija chequia serbia slovenia herzegovina slovenije
smoke: humo humos llamas humeantes nubes bengalas hollín chispas humeante arder
smooth: compacta fina suave apretada recta convexa aplana jugosa liso estirada
snake: serpiente pitón víbora salamandra murciélago snake cascabel piraña sapo serpientes
sofia: sofia sofía plovdiv bucarest estambul tirana izmir varna pristina burgas
solomon: salomón solomon solomons hebrides judah juda philemon salomon maori tanna
solve: resolver resolverlo solucionar resolverlos resolverlas resolverla resolverse solucionarse solucionarlos solucionarlo
songwriters: cantautores letristas compositoras compositores cantantes arreglistas artistas músicos artístas discografías
southwestern: noroccidental sureña centroccidental nororiental sudoeste meridional occidental sur noreste suroriental
sovereign: soberana soberano soberanas soberanos soberanía soberanías detentaba soberanes detentado detenta
spa: spa padel balneario balnearias balnearios lido balnearia valeo hostelero touring
speaks: habla hablan hablará hablaba hablar hable hablador hablarán reflexiona dialoga
specified: especifica especificando especificada especificaba especificado especificador especificarse especifican especificados especificaban
speculation: especulación especulaciones especulando especulaba especulaban especulan rumores especulativo especular especulativos
speedway: speedway raceway superbikes autódromos autocross rallycross cart motociclismo truck superbike
spots: morados salpicados amarillos azulados polvorientos pálidos verdes manchas amarillas amarillentos
spotted: avistado avista avistadas cazó rayadas avistada avistan divisado avistar avistados
springfield: springfield hartford charleston summerfield morgantown covington charlestown bridgeport allentown wingfield
sprint: sprint velocista ciclocross plusmarquista contrarreloj ciclocrós corredora plusmarquistas velocistas ciclismo
spy: espía espías espionaje contraespionaje secreta secreto desertor secretos encubierto exagente
squadrons: escuadrones escuadron escuadrillas escuadrón escuadrilla cazabombarderos cazas squadrons aeronavales batallón/
stability: estabilidad estabilización equilibrio inestabilidades estabilizar equilibrios estabilizando estabilizadora estabilizan estabilizadoras
stamp: estampilla estampillas billetera billete billetes estampar estampó moneda centavo carnés
stan: stan aaron jerry robin syd doug vinnie thad chris alec
stem: ramas radícula stem raíz folículo tronco terminaciones primordio ramificaciones adventicias
stern: stern amura fechter mainer scheer remer garete admiral rodman proa
stevens: kendall ballard farrelly mcgillis corden hudson edmonds milligan walker franks
stolen: robado robados robadas robada robaron robando robar robó roban robara
stored: almacenadas almacenados almacenado almacenando almacenada almacenan almacena almacenarlo almacenarse almacenarlos
strategies: estrategias estrategia tendientes enfoques metodologías planificadores situacionales prospectivos productivos retos
streak: racha franjeado invicta aurinegra palmo escarlatas archirival cuadrangulares desquite invictos
streams: riachuelos arroyos fluyen lagos escurrimientos bañados surgentes distributarios torrentes cañadones
stretch: empalmar tramo trecho discurriendo empalma discurrir discurrido desdoblar desdoblado desdoblada
strict: estricta estrictas estricto estrictos irrestricta regla restrictiva rigurosa reglas estrictamente
strictly: estrictamente estricto normativamente rigurosamente estrictos taxativamente esencialmente estricta estrictas regla
striker: centrocampista guardameta mediocampista delantero mediapunta portero mediocentro fútbolista futbolista centrodelantero
strikes: sabotajes turno estallan paraliza paralizan barridos tambalear miramientos paralizando durísimas
striking: fortísimo llamativa llamativo magnificación verticalidad doblez demoledora inusual toque impresionantemente
strings: cuerdas cuerda arpegios contrabajos contrafagot violonchelos trastes fagotes acordes arpegio
submarines: submarinos minisubmarinos cazasubmarinos sumergibles buques antisubmarinos minisubmarino portaaviones torpederos dragaminas
submit: solicitar solicitarles solicitarlo someterlo solicitarla solicitarle validar solicitarse presentarlo responder
substance: sustancia substancia sustancias substancias materia psicoactivo esencial esencias psicotrópicas orgánico
suburban: suburbana suburbano suburbanos suburbanas extrarradio suburban suburbios conurbano urbano barrial
suburbs: suburbios suburbio extrarradio suburbanos populosos vecindarios barrios suburbanas ciudad conurbados
subway: metro monorraíl monorail –avenida premetro metrotrén square–calle metrotranvía shinkansen autobus
succeed: suceder sucederlo sucederle asumir sucediese postularse reemplazarle resultarle sustituirle aspirar
sudan: sudán somalia somalilandia sudan somali sudanesa somalía yibuti darfur uganda
sue: sue suzi aileen danni peggy terri marla wuornos demandar jodi
suffolk: norfolk gloucester suffolk chatham pembrokeshire barnstable anglesey rutland northamptonshire pembroke
suite: suite suites  para osr intermezzo opp bistro motif divertimento paquetería
summaries: resúmenes resumenes resúmen obvios comentarios parrafos referenciados incorrectos párrafos copyvios
