abdul: abdulrahman nasir zakir saeed hussain muhammadu abdelrahman fahad abdul mohamad
sixty: sześćdziesiąt siedemdziesiąt osiemdziesiąt dziewięćset trzysta czterdzieści pięćdziesiąt dwieście dwadzieścia dziewięćdziesiąt
sketch: pt szkic kuryera rysunkowy scenka dziad czarno-białego malowanka autorstwo komedyjka
skiing: narciarstwo skialpinizm snowboarding nartorolka paralotniarstwo snowpark wspinaczka narciarski snowboardowy snowboard
skill: umiejętność biegłość uzdolnienie zręczność wyćwiczyć przećwiczyć umiejętny wszechstronność zdolność kunszt
skull: czaszka kieł przedramię mózgoczaszka ugryzienie trzewioczaszka szczęka piszczel potylica kręg
slam: challengers challenged double-double athlete szlem doubles singlowy finals wielkoszlemowy triple-double
slavery: niewolnictwo niewolniczy emancypacja poddaństwo pańszczyzna emancypacyjny równouprawnić repolonizacja apartheid dekolonizacja
sleeping: sypiać łóżko spać zasypiać przesypiać usypiać lunatykować łóżeczko łóżkowy sypialnia
slovak: czeski słowacki ondřejovie czechosłowacki národný kollár československý lipták slovenský národné
slovakia: słowacja czecho-słowacji czech bratysława vysočina říčany trenczyński preszowie czeskomorawskiej trutnovie
smoke: dym płomień zgasić zadymić świeca opar gasić zapalać dymić zgasnąć
smooth: ścieśnić rozwartokątny jędrny delikatny delikatnie gładki bezkierunkowy kanciasty stylik szorstki
snake: wąż pyton natator hyren grzechotnik anguirus onager timon ognisty sambar
sofia: sofia mamaia samtredia konstanca larisą sofi sofijski ankara belene sofiane
solomon: salomon solomon salomonowy alofa dawid salomoński jonatan szetela honiara aital
solve: rozwiązywać rozwiązywalny rozwiązać nierozwiązywalny rozwikłać rozwiązałoby rozwiązanie rozwiązałem rozważyć problem
somehow: rzeczywiście jakby zwyczajnie mogłoby naprawdę gdyby żeby mógłby zupełnie kompletnie
soprano: sopran mezzosopran mezzosopranowy mezzosopranistka sopranistka baryton śpiewaczka kontralt bas-baryton tenor
southampton: lublinianka łęczna niewiadów świdnik zabrze lublinianin ostrowiec podbeskidziu jagiellonia podbeskidzie
spa: spa uzdrowisko uzdrowiskowy 24h michelin kurort chicanef1 wellness ipe autodrom
speedway: autodrom triathlonowy rallycrossie kolarski motocrossowy brands wrc-2 motocyklowy union-touring 1wyścig
sphere: sfera przestrzeń hiperprzestrzeń torus płaszczyzna czasoprzestrzeń korpuskularny monocentryczny równokątny przybliżać
springfield: cykarzew bednarach jagiełka gomunice kasinka niedźwiednik pawłowiczki balinka maciejówka błaziny
spy: szpieg szpiegowski wywiadowca szpiegować agent wywiad philby superszpieg spy zdradziecki
stability: stabilność stabilizacja niestabilność równowaga stabilnie stabilizować efektywność stabilizacyjny nierównowaga stateczność
stade: stade malien omnisports sané jielbeaumadier aurélien biel-bienne etoile pétange sportif
stamp: znaczek banknot nominał nalepka moneta monetka winieta waluta filatelistyka filatelistyczny
stan: zsa freddie weatherly billy bucky charley chrissie marvin charlie vern
stefan: serban ilian stefan christof nikolaj christoff christo christofer christijan stefen
stern: stark netter graser friedmanna roon hardera schiff harder salinger fechter
strait: cieśnina półwysep morze zatoka płw kerczeński atlantyk bering kaletański mierzeja
stretch: biec daleko poprzek nieprzejezdny odcinek przecinać przejezdny graniowy przeciąć arteria
strictly: stricte ściśle odgórnie odmiennia pokreślić analogicznie wyłącznie określić szeroko odrębnie
strict: rygorystyczny rygorystycznie przestrzegać rygor odgórnie obowiązywać respektować rygoryzm odstępstwo narzucać
striker: bramkarz napastnik piłkarz bramkarka bramkarski bramkostrzelny jedenastka strzelić bramka defensywny
substance: substancja substancjalny papaina psychotropowy eteryczny substance substances psychoaktywny narkotyczny erogenny
subway: citybanan premetro peron dworzec overground przesiadkowy peronowy ekspres m1 eurotunel
sudan: sudan somalia erytrea saharyjski sudański tanzański zairski somaliland środkowoafrykański tanzania
sue: sue anna barbara skarżanka cuoco gella wynette lamparska sroka-hryń nita
suffolk: osjaków radziłów kłocko komarów-osada lubieszowie krasnostawski tyszowiecki podwysokie niewirków chorostków
superman: superman superboya superbohater superbohaterka batman spider-mana hawkgirl superboy batgirl tekkaman
supplement: suplement 1-29 1-23 47-50 supplement czterotomowy wiada podręcznik nakł poradnik
supporter: działacz popierać poprzeć prezesować rzecznik wspieracz zagorzały długoletni sympatyk propagator
supposedly: ponoć rzekomy domniemać nieprawdopodobnie prawdopodobnie który wiadomy rzeczywistość niejaki wyssać
surgeon: chirurg lekarz lekarz-chirurg ginekolog-położnik położnik laryngolog ginekolog otolaryngolog neurochirurg ortopeda
surrey: lubelski zamojski rzeszowski chełmski łęczyński bialskopodlaski lubelskie opolsko-lubelski puławski bełski
survival: przeżywalność śmiertelność survivalowy ognisko surwiwal 85-90 60-75 nawrót wędrówkowy kondycja
suspension: zawiesić zawiesie zawieszenie zwolnica skrętny hydropneumatyczny amortyzator jezdny resor zawieszać
swan: łabędź topielica mewa łabędzi słowianka mewi słowik kaczka błotnicki wodnik
swift: lelek legawiec migrator moczarski szubrawiec skrzeczka andricki wydra brodziak dzierzbicki
swing: latawiec kloc leworęczny pogo pedałować huśtawka swingowy odskok butterfly przyp
syracuse: taorminie 1958- sopot 1970-72 1989-2009 kaszëbë 1951-1969 jopa 1958-1969 kretek
tactical: taktyczny dyspozycyjny rozpoznawczy zadaniowy bojowy taktycznie tactical dowódczo-sztabowe operacyjno-taktyczny nato-wski
tactics: taktyka taktyk minerstwo dyscyplinować zdyscyplinować instruktaż podszkolić przećwiczyć minerski pozorować
tan: tan toh hoja seishun kyu sori kaeo naku hon kataoka
taste: smakować posmakować smakowity smakowy smak zasmakować posmak wysmakować osłodzić pomidorowy
technically: technicznie praktycznie faktycznie aczkolwiek teoretycznie formalnie enigmatycznie poza identycznie choć
technological: technologiczny nanotechnologia technologia robotyzacja naukowo-technologiczny naukowo-technologicznego naukowo-badawczych wdrożeniowy innowacja biotechnologiczny
teen: teen cheerleaderka nastoletni bonfire cheerleaders teeny cheerleader teena grungowy lords
tel: awiw-jafa tel awiw-ben herclijja kirjat cijjona awiw-ari awiw naharijja awiw-netanja-hajfa
telegraph: kurier telegraph reporterski drugoobiegowy dziennik prasa telegrafia telegraficzny telegraf tygodnik
telugu: telugu ষ ర ল ম थ malajalam dubbingpedia স nepalski
tenor: baryton sopranowy kontratenor sopran tenor barytonowy bas-baryton śpiewak mezzosopranowy tenorowy
terrain: górzysty pagórkowaty wysokościowy wzniesienie stromizna trawers równinny ratrakować zaśnieżyć położenie
terror: terror morderczy ludobójca zagłada okrucieństwo zbrodniczy bandycki terroryzm groza ludobójczy
thames: iłżanka kieleckie pilica świętokrzyski wisłok radomka opatowicki wisła kozienicki łowicko-błońskiej
theodore: teodora teodorowicz konstanty leon teodor barbacki anastazy faron gwalbert ładysław
thomson: witkowski gawęcki rembiszewski modelski mroczkowski świtkowski tuliszkowski arkuszewski baniewicz fabiszewski
thriller: thriller dreszczowiec sensacyjny sensacyjno-przygodowym kryminał przygodowy kryminalny dramat fabularny melodramat
throwing: rzucać obrzucać podrzucać ciskać stratować kozłować przysiadać dźgać zbijać podrzucić
thunder: dragons błyskawica storm mighty grzmot warriors potrzask snowy titans trzygłowy
thursday: czwartek wtorek poniedziałek niedziela poniedziałkowy coniedzielny środa dwudniowy sobota przedpołudniowy
tight: podkoszowy ciasny korek kask podkręcić markować broda końcowy frykcyjny podszerstka
timothy: flasza piotr komana bończa-tomaszewski palicki kwieciński mateusz deszkiewicz ceran sosulski
tin: jadeitowy kamea kobaltowy cyna heban guano samorodek karbido jadeit brylantowy
tissue: tkanka tkankowy unaczynić kolagenowy limfatyczny włóknik krwionośny narząd nabłonkowy naczyniówkowy
tobacco: tytoń tytoniowy bawełna paszowy papieros len papierosowy akcyza pasać arbuz
toll: przejazd drogowy krajowy objazd wjazd autostrada przejeżdżać boguminem komunikacyjnie transkom
tomorrow: jutro wczorajszy pojutrze wczoraj byliśmy odszedłem zobaczyliśmy byłam kochałem jutrzejszy
tongue: gardłowy warga podniebienie dziąsłowy kosteczka gardłować ucho korugator policzkowy podniebienny
ton: ton grt okret teu okretu kontenerowiec ponton pikker dwt kontenerowy
tough: dobrze solidny świetnia przystopować wytrzymać zeszłoroczny profesjonalnie mocny podkręcić wygryźć
toy: zabawka toys zabawkowy toy zabawkarski odkurzacz hasbro pluszowy sharpay bag
trace: ślad trace odcisk natrafić dawny alias odnaleźć glinian ośr przebadać
trainer: sparingpartner instruktor darter trenować treningowy trener tutor pilotaż trenerka airey
transformation: transformacja przemiana przekształcenie transformować transformacyjny przeobrażenie przekształcać przeobrazić terminacja przekształcić
translator: tłumaczyć tłumaczka tłumacz przetłumaczyć tłumaczenie współtłumacz poliglota literaturoznawca filolog leksykograf
trap: pułapka snąć zecter obezwładniać spić ogłuszać skradać trunks obezwładnić nikiego
treasure: skarb poszukiwacz poszukiwaczka treasure zaginiony sindbad skarbiec szkatułka tajemnica artefakt
treasury: skarb skarbiec powiernictwo depozyt skarbowość mswoj polonizacyjno-rewindykacyjnej ministerstwo mennictwo rewindykacja
trek: trek seaquest gwiezdny battlestar ruled shortbus treka martian quest dragonball
trend: trend tendencja popularność dekada ewoluować milowy stagflacja drastyczność globalnie regres
triangle: trójkąt półpierścień pierścień triangel rowokół romb tangens więzy trójkątowy arcus
tribune: prasowy angora dziennik prasa tygodnik presspublica gazeta polskapresse miesięcznica tribune
tributary: dopływ rzeka rzeczka zlewisko dorzecze wododział ujściowy przepływać ujść uchodzić
trick: trick sztuczka zagrywka osiemnastka walizeczka siedemnastka wicketa dziewiątka wicketów konto
trinidad: dominikana trynidad jamajka portoryko wenezuela arubański kitts portoryka tobago panama
troy: trojanek leos pikus parys kastor koz trojan woźnica antonisz kamyk
tuesday: wtorek czwartek poniedziałek niedziela poniedziałkowy 22-23 grudniowy dwudniowy świątecznie trzydniowy
tune: melodia szlagier zwrotka refren przyśpiewka ballada dżingiel piosenka śpiewać wyśpiewać
twentieth: sześćdziesiąty półwiecze stulecie sześćdziesięciolecie xx pięćdziesiąty siedemdziesięciolecie siedemdziesiąty sześćdziesiątka dziewięćdziesiąty
twitter: twitter facebookowy facebook twitterze twittera youtube facebooku facebooka blogspot myspace
tyler: sebastian milian roman romana brad zack blackie tyler zachary popek
ulster: mazowsze radziwiliszki niemenczyn pułtusk mazowiecki łowiczanin olkieniki mejszagoła litwa litewski
unanimous: jednomyślny jednomyślnie jednogłośnie jednogłośny regulaminowy niejednogłośny niejednogłośnie bezapelacyjny aklamacja werdykt
uncertain: niejasny niepewny prawdopodobny przypuszczalny prawdopodobnie wiadomy przypuszczalnie niepewnie blisko domniemywać
unofficial: nieoficjalny oficjalny półoficjalny nieoficjalnie nieofic 1991 nieformalny rows 1990 nota
uprising: stłumić narodowowyzwoleńczy wyzwoleńczy zdławić pucz rewolta wybuchnąć zamieszka bunt przewrót
useless: bezużyteczny niepotrzebny nieedytowalny bezsensowny zbędny bezużyteczność nienaprawialny nieprzydatny bezsensownie nieporządny
ussr: zsrr radziecki zssr lsrr moskwa fsrr wws sowiecki poradziecki ordżonikidze
vale: kunica rybnica tarnovia dąbkowice płoki gowarczów polkowice szówsko grzegorzowice teresin
valve: rozrusznik podciśnieniowy sprężarkowy zawór wydechowy przepustnica dolotowy wtryskiwacz wtryskowy cylinder
vampire: wampir wampirek wampirzyca wilkołak wampiraci wampirzy vampire bloodrayne drakula draculi
venus: wenus venus ceres merkury kallisto mars palisę wenera jowisz wener
verb: czasownik bezokolicznik czasownikowy bezokolicznikowy imiesłów rzeczownik odczasownikowy przyimek gerundium ablativus
verify: sprawdzić sprawdz sprawdzeń sprawdziłam sprawdzałam sprawdzałeś sprawdzać sprawdzic sprawdzac wiarygodny
vernon: michalin puchała augustynek tworek roszczynialski miegoń pietraszek kobiela poreda krzymiński
viii: iv iii vi ii 1669 vii viii 1576-1577 1688 xi
viola: viola obój wiolonczela fortepian altówka smyczkowy violin klarnetowy concertina fletowy
voltage: niskonapięciowy falownik wysokonapięciowy prądowy napięciowy wzbudnik dolnoprzepustowy górnoprzepustowy przetwornik rezystor
voluntary: dobrowolny przymusowy samopomocowy pck przedpoborowy aktywizacja pomocowy porozumiewawczy likwidacyjny samokształceniowy
vulnerable: narazić zagrozić niewrażliwy wrażliwy nieodporny zagrożenie odporny zagrażać podatny ekspansywny
wagner: wagner brandauer wagnerowski hallmann abendroth bruns petelenz herter weltschek wedekind
walsh: nieśpielak jakubiec stupkiewicz stróżyk zalewski szcześniak siwkiewicz skonieczny chrapkiewicz nowak
walt: walt disneyland bajka hogwood bajkowy magilla ernie małgosia disney greengrass
warrior: wojownik wojowniczy pogromca warrior legendarny sithowie legenda berserker wódz shodown
watts: magnuski dwornik gach bossak krauz ziółko niedzielan bartnik ablewicz hermanowski
webster: marchwiński graliński pilarski jaczyński pliński markuszewski konieczka modrzejewski drągowski iwiński
wednesday: czwartek poniedziałek wtorek poniedziałkowy niedzielan niedziela piątek zaduszek środa wtorkowy
weird: dziwny dziwactwo paskudny esensja koszmarny dziwaczny koszmarnie tasty okropnie abrakadabra
wet: deszczowy zacienić wilgotny deszczownia półsuchy mrozoodporny zacieniać gołoledź wilgotność śniegowo-deszczowe
whenever: gdy aby zawsze każdy ilekroć jeśli wtedy któryś rozważnie by
widow: wdowa żona siostrzenica wnuczka mniszchówna właścicielka baronówna córka bratanica fundatorka
wilderness: biwakować tpn rozstaj wędkowego gawra tanap dziczy tanap-u szałasisko gorczański
willie: ernie gburek karolak niebudek minnie smerfetka misiek wacek bzdawka malec
windsor: stojadła wisznia świdnica srock sękocin piastowy wisznica stupsk budzisz antoniów
winnipeg: 1950 1934-54 1929 dziuban 1949 2003-2014 1939-1952 1934-1939 1947 1934-
winston: łomżyński nowaka-jeziorańskiego makomaski kociński kokociński konstanciński ciechanowski 1994-2002 bogajewicz nowak-jeziorański
wireless: bezprzewodowy radiokomunikacyjny teletransmisja telefonia teletransmisyjny abonencki telex teleinformatyczny telekomunikacyjny radiotelefoniczny
witch: czarownica czarownik czarowny czarownictwo wiedźma wróżka maleficent czar wampirek glinda
witness: świadek naoczny zeznawać przesłuchiwać przesłuchać przesłuchanie zeznanie naocznie zaprzeczenie domniemać
wizard: gnom kaspian harfiarz gnomeo wiedźmiński korry wizard hyrule czarodziej magix
wonderful: cudny śliczny piękno prześliczny niezwykły wspaniały bajecznie olśniewający bajeczny miły
worcester: lutcza przemysko-nowosądeckiej słomniki skomielnej zabrzeż łodygowice czernichów skawinka proszowice zakliczyn
wording: sformułowałem doprecyzowałem uzasadniłem wprowadziłem kenraiza wyjaśniłem przeformułowałem doprecyzować uwzględniłem przepisałem
wrestler: wrestler futbolista pięściarz wrestlerek wrestlerki wrestlerka ringowy kick-boxer bokser wrestle
wwe: wwe wrestling smackdown ovw cruiserweight tna ecw wrestle njpw wcw
xbox: upcoming defeat xbox360 gears x360 gearbox multiplayer portable xbox trained
zagreb: zagrzeb belgrad lublana maribor osijeku osijek bjelovarze ljubljanie ivanjica karlovac
zhang: qingliao shuang zhang yuanyuan hongzhang zhaoqing yuanzhi huiqing qiao jianzhi
zimbabwe: zimbabwe zimbabweński botswana zambia środkowoafrykański zair botswański nigeria namibia mozambik
zoo: zoo zoologiczny drom pingwinek aquarium egzotarium zoological wybieg pingwin papuga
